@relation radar1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 {Dog,Human}

@data
0.06319,0.008082,0.080749,0.013091,0.058394,0.008331,0.062798,0.00941,0.473289,0.575747,0.348733,0.477234,0.491623,0.463345,0.180602,0.133333,0.080014,0.425077,0.179788,0.198758,0.185053,0.014756,0.097176,0.365591,0.264957,0.243333,0.202132,0.007071,0.148122,0.175573,0.137931,0.009739,0.089801,0.193548,0.320755,0.209125,0.153791,0.006469,0.105983,0.122807,0.097826,0.006511,0.073429,0.387597,0.188119,0.139775,0.105978,0.005357,0.026889,0.049383,0.01626,0.002272,0.030056,0.372881,0.083333,0.056962,0.017615,0.002071,0.154579,0.456976,0.010497,0.010153,0.012094,0.007855,0.003276,0.00188,Human
0.078363,0.012462,0.10049,0.018099,0.061005,0.011319,0.107242,0.016615,0.617492,0.68579,0.338876,0.639638,0.648239,0.707528,0.375982,0.2,0.170398,0.684241,0.145711,0.229814,0.149466,0.057757,0.124726,0.322581,0.247863,0.218669,0.13943,0.009099,0.119773,0.206107,0.112069,0.038546,0.122659,0.301075,0.311321,0.192137,0.107296,0.008624,0.094872,0.122807,0.130435,0.021587,0.107262,0.44186,0.257426,0.110187,0.121118,0.007874,0.065301,0.135802,0.04878,0.015968,0.088411,0.466102,0.214286,0.125316,0.045296,0.005901,0.446167,0.627265,0.022321,0.023282,0.014393,0.004038,0.001202,0.000991,Human
0.461144,0.231636,0.575687,0.353038,0.340363,0.178318,0.535518,0.280632,0.616764,0.726373,0.784278,0.560343,0.673601,0.780306,0.296099,0.333333,0.189953,0.319348,0.836075,0.701863,0.604982,0.353473,0.67032,0.83871,0.752137,0.448866,0.435708,0.239868,0.793763,0.740458,0.517241,0.347508,0.65954,0.731183,0.877358,0.473649,0.373867,0.238243,0.745299,0.701754,0.478261,0.339368,0.630673,0.689922,0.732673,0.448329,0.345411,0.235605,0.631242,0.567901,0.422764,0.184058,0.531815,0.59322,0.416667,0.374322,0.30533,0.225178,0.136907,0.652288,0.344132,0.381246,0.287172,0.091036,0.054257,0.047267,Human
0.77421,0.609052,0.843915,0.723851,0.685207,0.544602,0.837832,0.708249,0.635488,0.685263,0.554595,0.581079,0.702439,0.758251,0.174863,0.233333,0.107217,0.247991,0.950646,0.913043,0.857651,0.54135,0.844016,0.989247,0.897436,0.745332,0.742692,0.629922,0.986534,0.977099,0.892241,0.593317,0.900264,0.849462,0.971698,0.79752,0.773104,0.629639,0.988034,0.964912,0.869565,0.550717,0.913489,0.852713,0.910891,0.788007,0.753623,0.628516,0.975672,0.925926,0.845528,0.43158,0.90889,0.737288,0.904762,0.776755,0.732791,0.623304,0.152665,0.680055,0.723452,0.810776,0.791304,0.439424,0.200043,0.25261,Human
0.457279,0.309232,0.602752,0.384504,0.375936,0.262331,0.740272,0.425242,0.71531,0.789842,0.83995,0.694427,0.718298,0.939878,0.472229,0.266667,0.236606,0.719687,0.66275,0.763975,0.576512,0.611116,0.630766,0.989247,0.803419,0.572186,0.467792,0.30708,0.637845,0.755725,0.577586,0.588875,0.659419,0.978495,0.90566,0.565868,0.469957,0.306162,0.607692,0.675439,0.543478,0.558846,0.668386,0.744186,0.70297,0.504686,0.441576,0.304594,0.521127,0.617284,0.390244,0.50513,0.676004,0.669492,0.654762,0.474684,0.317073,0.297669,0.146002,0.636866,0.616483,0.588236,0.289028,0.088776,0.025229,0.008478,Human
0.475207,0.312748,0.606153,0.388553,0.277293,0.196012,0.695357,0.369664,0.713147,0.39913,0.299488,0.679006,0.426732,0.331402,0.680228,0.5,0.459326,0.636883,0.749706,0.84472,0.096085,0.774204,0.71613,1,0.803419,0.392615,0.052479,0.25626,0.700213,0.908397,0.047414,0.795808,0.723002,0.989247,0.943396,0.424602,0.027244,0.254853,0.634188,0.833333,0.027174,0.780158,0.692483,0.992248,0.851485,0.390489,0.015359,0.252408,0.604353,0.82716,0,0.794572,0.765846,0.694915,0.928571,0.401732,0,0.246464,0.172208,0.736545,0.534292,0.507969,0.409523,0.129667,0.045909,0.031475,Human
0.230246,0.072193,0.271744,0.091362,0.169755,0.057786,0.301592,0.084345,0.753851,0.810144,0.744602,0.696927,0.760289,0.804327,0.466417,0.3,0.249819,0.645813,0.40423,0.459627,0.316726,0.183696,0.325119,0.677419,0.615385,0.320276,0.24154,0.074214,0.349398,0.480916,0.237069,0.17309,0.321161,0.483871,0.54717,0.333267,0.182782,0.073031,0.273504,0.368421,0.201087,0.134085,0.290275,0.581395,0.356436,0.252814,0.153772,0.070955,0.201024,0.296296,0.162602,0.079414,0.28433,0.525424,0.333333,0.210321,0.124342,0.066523,0.460752,0.75312,0.140186,0.138876,0.061527,0.025174,0.0067,0.004401,Human
0.198576,0.046037,0.226692,0.066907,0.113028,0.030424,0.209588,0.047606,0.769567,0.833636,0.539468,0.750738,0.73212,0.660935,0.705278,0.433333,0.43222,0.772991,0.37309,0.347826,0.259786,0.138816,0.325042,0.537634,0.495726,0.182882,0.159231,0.046809,0.324592,0.343511,0.211207,0.123017,0.320519,0.526882,0.443396,0.180146,0.131208,0.045742,0.289744,0.350877,0.168478,0.122344,0.339747,0.542636,0.445545,0.182125,0.104296,0.044248,0.197183,0.234568,0.097561,0.059027,0.29623,0.516949,0.285714,0.127327,0.060395,0.038369,0.403782,0.719226,0.100422,0.091205,0.031181,0.014148,0.0026,0.00246,Human
0.094504,0.014149,0.085402,0.014207,0.07643,0.012914,0.093859,0.015272,0.434575,0.541357,0.428678,0.513201,0.57115,0.558978,0.256543,0.2,0.127126,0.454136,0.245593,0.291925,0.206406,0.039717,0.153423,0.537634,0.376068,0.273478,0.192232,0.012134,0.187101,0.236641,0.155172,0.026374,0.123023,0.365591,0.40566,0.219318,0.147149,0.011144,0.139316,0.192982,0.119565,0.02472,0.115394,0.44186,0.267327,0.173307,0.111025,0.00985,0.058899,0.098765,0.065041,0.00846,0.071604,0.398305,0.154762,0.091139,0.060395,0.005846,0.297142,0.528578,0.021535,0.021574,0.016588,0.007759,0.003746,0.004812,Human
0.118284,0.01896,0.113573,0.02181,0.084379,0.015511,0.111761,0.020073,0.580418,0.668954,0.60459,0.560592,0.649734,0.834337,0.321844,0.266667,0.176069,0.458935,0.273208,0.31677,0.199288,0.059897,0.179265,0.451613,0.350427,0.243333,0.161706,0.017035,0.216159,0.320611,0.172414,0.045636,0.15987,0.344086,0.415094,0.243101,0.142167,0.016002,0.157265,0.219298,0.130435,0.026419,0.134728,0.496124,0.257426,0.162787,0.105978,0.014408,0.090909,0.111111,0.097561,0.012808,0.111597,0.415254,0.178571,0.085443,0.079268,0.010886,0.022604,0.576868,0.029896,0.030562,0.023956,0.007502,0.003755,0.004947,Human
0.094549,0.014142,0.098864,0.01766,0.063966,0.011414,0.101984,0.015637,0.613305,0.696281,0.613997,0.585637,0.6136,0.720564,0.419697,0.266667,0.215459,0.628602,0.207403,0.248447,0.192171,0.064949,0.165987,0.462366,0.230769,0.193091,0.155931,0.013105,0.153083,0.19084,0.146552,0.038096,0.142842,0.344086,0.245283,0.146837,0.121245,0.012243,0.131624,0.149123,0.119565,0.026945,0.137888,0.449612,0.227723,0.110187,0.097147,0.011471,0.089629,0.123457,0.065041,0.01643,0.117118,0.423729,0.190476,0.094937,0.052846,0.008823,0.624235,0.611792,0.024673,0.025258,0.017298,0.004268,0.00121,0.002255,Human
0.284531,0.096573,0.306852,0.112985,0.276062,0.096245,0.295274,0.108558,0.563624,0.491308,0.293886,0.55021,0.677314,0.445609,0.062512,0.166667,0.049407,0.122116,0.416569,0.459627,0.41637,0.146492,0.261163,0.698925,0.521368,0.470181,0.417148,0.097203,0.38696,0.458015,0.375,0.102169,0.24185,0.516129,0.575472,0.463942,0.377682,0.096323,0.370085,0.421053,0.36413,0.086331,0.233601,0.48062,0.49505,0.421403,0.36413,0.095141,0.322663,0.37037,0.325203,0.062731,0.233132,0.415254,0.333333,0.379747,0.325203,0.089865,0.043505,0.640472,0.099918,0.120099,0.126909,0.060308,0.056188,0.045827,Human
0.165011,0.059118,0.251591,0.079965,0.155126,0.058777,0.333064,0.094937,0.615385,0.64809,0.199091,0.638192,0.63863,0.516613,0.331147,0.166667,0.141325,0.6701,0.283784,0.515528,0.206406,0.294058,0.234734,0.956989,0.581197,0.52499,0.207463,0.045372,0.253721,0.526718,0.137931,0.262789,0.228759,0.537634,0.632075,0.531893,0.141631,0.044643,0.217949,0.464912,0.086957,0.226433,0.209504,0.643411,0.50495,0.465236,0.086957,0.043421,0.170294,0.419753,0.04065,0.164229,0.210722,0.483051,0.52381,0.43038,0.04065,0.03989,0.438677,0.630264,0.105087,0.107883,0.066041,0.019078,0.006655,0.004381,Human
0.590111,0.384982,0.600741,0.38212,0.490179,0.326743,0.709728,0.465105,0.664585,0.620235,0.505524,0.638625,0.700422,0.632051,0.187378,0.266667,0.121939,0.225786,0.830787,0.925466,0.619217,0.561283,0.712944,1,0.871795,0.690939,0.502443,0.409828,0.804394,0.870229,0.543103,0.498142,0.738955,1,0.962264,0.650807,0.44206,0.408733,0.805128,0.894737,0.565217,0.530188,0.767468,0.821705,0.940594,0.66906,0.459239,0.407553,0.810499,0.814815,0.601626,0.468848,0.790382,0.779661,0.77381,0.626582,0.488821,0.402372,0.238961,0.695718,0.584043,0.607085,0.416856,0.217278,0.108707,0.09236,Human
0.332249,0.182626,0.475315,0.248,0.285086,0.162925,0.578636,0.264549,0.682331,0.771394,0.646319,0.71112,0.684977,0.821272,0.402923,0.233333,0.194433,0.664236,0.56933,0.732919,0.434164,0.582162,0.521064,0.989247,0.752137,0.600836,0.376159,0.152152,0.506024,0.725191,0.400862,0.508566,0.490758,0.795699,0.811321,0.593666,0.34907,0.150773,0.447863,0.675439,0.331522,0.477061,0.480237,0.72093,0.742574,0.551308,0.287319,0.148783,0.411012,0.62963,0.227642,0.454138,0.509814,0.669492,0.690476,0.528193,0.19729,0.143633,0.549287,0.620197,0.315973,0.314686,0.243024,0.060981,0.01622,0.009847,Human
0.173807,0.043926,0.188105,0.048902,0.123526,0.034894,0.226891,0.051115,0.758136,0.729853,0.545461,0.702619,0.798825,0.732471,0.508941,0.3,0.267793,0.716035,0.302585,0.341615,0.231317,0.118803,0.250484,0.677419,0.307692,0.240171,0.176314,0.042452,0.23742,0.320611,0.185345,0.084893,0.227684,0.387097,0.386792,0.223499,0.143398,0.04135,0.18547,0.254386,0.103261,0.066336,0.217939,0.527132,0.336634,0.173914,0.078964,0.039947,0.129321,0.197531,0,0.048372,0.196001,0.5,0.261905,0.140214,0,0.036887,0.205529,0.765524,0.096959,0.086329,0.027751,0.014751,0.004421,0.001848,Human
0.178041,0.042988,0.177142,0.044282,0.111725,0.030991,0.216844,0.05047,0.666634,0.764928,0.873738,0.63765,0.737151,0.995529,0.598662,0.366667,0.342144,0.734252,0.356052,0.335404,0.274021,0.14464,0.279525,0.537634,0.42735,0.202226,0.186327,0.044348,0.29837,0.358779,0.193966,0.10814,0.26375,0.462366,0.377358,0.214788,0.133725,0.043197,0.255556,0.289474,0.184783,0.081817,0.261113,0.511628,0.316832,0.170677,0.12643,0.041617,0.169014,0.185185,0.097561,0.04537,0.230637,0.466102,0.25,0.113924,0.066752,0.036657,0.143773,0.675495,0.077427,0.08145,0.044396,0.011268,0.005472,0.003365,Human
0.123482,0.021367,0.104322,0.019154,0.065941,0.014295,0.136597,0.023732,0.655842,0.751056,0.8304,0.641377,0.69801,0.637623,0.612358,0.4,0.366974,0.697193,0.264982,0.291925,0.163701,0.092992,0.212103,0.473118,0.376068,0.164545,0.105109,0.021425,0.197023,0.251908,0.112069,0.055547,0.185515,0.387097,0.254717,0.141174,0.07382,0.020329,0.142735,0.166667,0.054348,0.02964,0.16396,0.550388,0.227723,0.090463,0.035326,0.018896,0.111396,0.17284,0.03252,0.027867,0.159279,0.449153,0.25,0.099684,0.021138,0.016356,0.520499,0.660954,0.043245,0.040162,0.017801,0.007123,0.00241,0.002491,Human
0.076684,0.009143,0.059297,0.008454,0.0486,0.007164,0.066841,0.009261,0.568802,0.642409,0.729702,0.588198,0.611984,0.734167,0.384513,0.266667,0.201296,0.567596,0.192714,0.180124,0.177936,0.024916,0.126867,0.376344,0.196581,0.14285,0.14438,0.008167,0.118356,0.129771,0.112069,0.016054,0.104089,0.204301,0.226415,0.101536,0.093348,0.007133,0.084615,0.105263,0.065217,0.012202,0.090229,0.426357,0.19802,0.077313,0.052989,0.006274,0.042254,0.074074,0,0.006996,0.056432,0.40678,0.142857,0.056962,0,0.00429,0.184286,0.538156,0.016119,0.014985,0.0116,0.004025,0.001173,0.001981,Human
0.074802,0.008657,0.061204,0.008832,0.04243,0.006333,0.066107,0.008254,0.674417,0.754358,0.935216,0.629096,0.670079,0.756367,0.549301,0.3,0.284852,0.782681,0.17215,0.192547,0.13879,0.038995,0.144566,0.258065,0.222222,0.138985,0.105652,0.008006,0.140326,0.160305,0.116379,0.025943,0.140762,0.236559,0.273585,0.113732,0.090886,0.00741,0.105983,0.122807,0.081522,0.018016,0.12218,0.434109,0.217822,0.082876,0.06234,0.006461,0.042254,0.061728,0.01626,0.004637,0.056146,0.432203,0.119048,0.043817,0.012434,0.003413,0.198583,0.703358,0.016803,0.015445,0.009968,0.003329,0.000871,0.000861,Human
0.247009,0.071224,0.257117,0.083016,0.172937,0.054318,0.272441,0.081894,0.643656,0.751324,0.67634,0.62104,0.689312,0.749906,0.385311,0.333333,0.229456,0.45997,0.537015,0.509317,0.391459,0.192417,0.404417,0.634409,0.57265,0.327503,0.281702,0.072386,0.484054,0.51145,0.318966,0.153523,0.379179,0.623656,0.632075,0.32804,0.231283,0.071003,0.399145,0.438596,0.26087,0.120008,0.336401,0.674419,0.405941,0.279258,0.188406,0.068327,0.239437,0.271605,0.146341,0.076628,0.27611,0.466102,0.27381,0.179024,0.105691,0.059926,0.107944,0.629023,0.115306,0.12674,0.080245,0.02431,0.012449,0.010534,Human
0.253599,0.090121,0.304321,0.111351,0.17809,0.068925,0.352148,0.113811,0.767798,0.838408,0.774525,0.713614,0.745166,0.882945,0.557163,0.333333,0.305554,0.730856,0.487662,0.540373,0.370107,0.321972,0.434553,0.967742,0.675214,0.347078,0.266301,0.09278,0.434444,0.503817,0.344828,0.280928,0.431457,0.602151,0.698113,0.323186,0.249881,0.091571,0.362393,0.421053,0.293478,0.221205,0.39447,0.705426,0.594059,0.267987,0.211957,0.089281,0.259923,0.296296,0.146341,0.126258,0.377893,0.516949,0.380952,0.195298,0.105691,0.083092,0.274553,0.741891,0.202142,0.180429,0.050028,0.031041,0.00577,0.003975,Human
0.669706,0.468758,0.8449,0.725455,0.626107,0.442422,0.718178,0.568827,0.570744,0.591194,0.430608,0.566851,0.492562,0.553569,0.077071,0.2,0.062104,0.108374,0.786722,0.888199,0.669039,0.457872,0.642107,0.892473,0.905983,0.799643,0.621248,0.453498,0.793763,0.938931,0.706897,0.469328,0.681561,0.827957,0.95283,0.844468,0.657265,0.452914,0.778632,0.885965,0.782609,0.444194,0.668619,0.852713,0.871287,0.796614,0.726708,0.451619,0.743918,0.753086,0.715447,0.323632,0.5925,0.686441,0.72619,0.694937,0.664344,0.445921,0.045508,0.615878,0.3331,0.413007,0.571886,0.372823,0.278963,0.479491,Human
0.163023,0.039703,0.240812,0.074173,0.18001,0.044871,0.178204,0.048443,0.633481,0.549335,0.175811,0.659317,0.628934,0.327921,0.103566,0.1,0.046957,0.317326,0.360752,0.416149,0.402135,0.052168,0.218678,0.698925,0.529915,0.554569,0.477242,0.036081,0.334515,0.389313,0.344828,0.037471,0.212408,0.462366,0.5,0.512478,0.411627,0.03523,0.281197,0.350877,0.288043,0.037784,0.18543,0.51938,0.485149,0.453964,0.340415,0.033413,0.190781,0.271605,0.211382,0.02678,0.168071,0.466102,0.297619,0.358047,0.249815,0.027927,0.200098,0.714391,0.054804,0.052436,0.037298,0.036008,0.017804,0.016457,Human
0.082412,0.01541,0.130779,0.027165,0.064874,0.014105,0.136321,0.026659,0.702933,0.757251,0.49714,0.682429,0.705844,0.809364,0.426655,0.2,0.188757,0.781866,0.188014,0.372671,0.078292,0.135522,0.143127,0.505376,0.470085,0.344729,0.073428,0.011445,0.14387,0.29771,0.043103,0.086149,0.124445,0.333333,0.311321,0.273679,0.043532,0.010709,0.112821,0.263158,0.021739,0.064947,0.114209,0.465116,0.277228,0.236427,0.020186,0.009824,0.06402,0.148148,0,0.023714,0.08747,0.449153,0.214286,0.136709,0,0.007138,0.475143,0.68234,0.02685,0.025781,0.020263,0.005895,0.002222,0.001867,Human
0.111155,0.021655,0.154788,0.03554,0.092342,0.020005,0.149502,0.028213,0.696455,0.754361,0.574964,0.678589,0.71967,0.781316,0.329763,0.2,0.153653,0.595198,0.210928,0.298137,0.185053,0.076482,0.146516,0.516129,0.350427,0.278958,0.172431,0.020325,0.152374,0.236641,0.12931,0.052186,0.128364,0.333333,0.273585,0.219318,0.123237,0.019428,0.112821,0.175439,0.076087,0.033613,0.121924,0.434109,0.237624,0.157527,0.070652,0.018403,0.088348,0.148148,0.03252,0.027929,0.123947,0.449153,0.22619,0.136709,0.030197,0.016605,0.199531,0.720707,0.040162,0.042722,0.017468,0.006668,0.002562,0.00293,Human
0.124404,0.022779,0.112821,0.021588,0.08306,0.017769,0.14367,0.02596,0.630182,0.74361,0.571454,0.625157,0.699583,0.7761,0.48777,0.3,0.258844,0.681074,0.228555,0.273292,0.128114,0.082077,0.172601,0.623656,0.213675,0.193794,0.097499,0.021628,0.177888,0.236641,0.090517,0.049247,0.147888,0.322581,0.245283,0.166002,0.071194,0.020779,0.135897,0.184211,0.086957,0.032267,0.133635,0.426357,0.227723,0.12536,0.066496,0.019651,0.103713,0.148148,0.04878,0.025233,0.140713,0.440678,0.214286,0.105161,0.037303,0.017332,0.085027,0.663038,0.041489,0.042274,0.020994,0.007607,0.003783,0.003382,Human
